RID,Title,Organization
ASTM D6641/D6641M,(2016; E 2021) Standard Test Method for Compressive Properties of Polymer Matrix Composite Materials Using a Combined Loading Compression (CLC) Test Fixture,ASTM INTERNATIONAL (ASTM)
ASTM D6690,"(2021) Standard Specification for Joint and Crack Sealants, Hot Applied, for Concrete and Asphalt Pavements",ASTM INTERNATIONAL (ASTM)
ASTM D6693/D6693M,(2004; R 2015; E 2015) Standard Test Method for Determining Tensile Properties of Nonreinforced Polyethylene and Nonreinforced Flexible Polypropylene Geomembranes,ASTM INTERNATIONAL (ASTM)
ASTM D6706,(2001; R 2013) Standard Test Method for Measuring Geosynthetic Pullout Resistance in Soil,ASTM INTERNATIONAL (ASTM)
ASTM D6725/D6725M,(2016) Standard Practice for Direct Push Installation of Prepacked Screen Monitoring Wells in Unconsolidated Aquifers,ASTM INTERNATIONAL (ASTM)
ASTM D6754/D6754M,(2010) Standard Specification for Ketone Ethylene Ester Based Sheet Roofing,ASTM INTERNATIONAL (ASTM)
ASTM D6757/D6757M,(2018) Standard Specification for Underlayment Felt Containing Inorganic Fibers Used in Steep-Slope Roofing,ASTM INTERNATIONAL (ASTM)
ASTM D6760,(2016) Standard Test Method for Integrity Testing of Concrete Deep Foundations by Ultrasonic Crosshole Testing,ASTM INTERNATIONAL (ASTM)
ASTM D6765,(2012) Standard Practice for Live Staking,ASTM INTERNATIONAL (ASTM)
ASTM D6768/D6768M,(2020) Standard Test Method for Tensile Strength of Geosynthetic Clay Liners,ASTM INTERNATIONAL (ASTM)
ASTM D6836,"(2016) Standard Test Methods for Determination of the Soil Water Characteristic Curve for Desorption Using a Hanging Column, Pressure Extractor, Chilled Mirror Hygrometer, and/or Centrifuge",ASTM INTERNATIONAL (ASTM)
ASTM D6859,(2011) Standard Test Method for Pile Thickness of Finished Level Pile Yarn Floor Coverings,ASTM INTERNATIONAL (ASTM)
ASTM D6871,(2017) Standard Specification for Natural (Vegetable Oil) Ester Fluids Used in Electrical Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM D6910/D6910M,(2019) Standard Test Method for Marsh Funnel Viscosity of Construction Slurries,ASTM INTERNATIONAL (ASTM)
ASTM D6913/D6913M,(2017) Standard Test Methods for Particle-Size Distribution (Gradation) of Soils Using Sieve Analysis,ASTM INTERNATIONAL (ASTM)
ASTM D6925,(2014) Standard Test Method for Preparation and Determination of the Relative Density of Hot Mix Asphalt (HMA) Specimens by Means of the Superpave Gyratory Compactor,ASTM INTERNATIONAL (ASTM)
ASTM D6926,(2020) Standard Practice for Preparation of Asphalt Mixture Specimens Using Marshall Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM D6927,(2015) Standard Test Method for Marshall Stability and Flow of Bituminous Mixtures,ASTM INTERNATIONAL (ASTM)
ASTM D6938,(2017a) Standard Test Method for In-Place Density and Water Content of Soil and Soil-Aggregate by Nuclear Methods (Shallow Depth),ASTM INTERNATIONAL (ASTM)
ASTM D7002,(2016) Standard Practice for Leak Location on Exposed Geomembranes Using the Water Puddle System,ASTM INTERNATIONAL (ASTM)
ASTM D7005,(2003; R 2008) Standard Test Method for Determining the Bond Strength (Ply Adhesion) of Geocomposites,ASTM INTERNATIONAL (ASTM)
ASTM D7006,(2013) Standard Practice for Ultrasonic Testing of Geomembranes,ASTM INTERNATIONAL (ASTM)
ASTM D7007,(2016) Standard Practices for Electrical Methods for Locating Leaks in Geomembranes Covered with Water or Earth Materials,ASTM INTERNATIONAL (ASTM)
ASTM D7036,(2016) Standard Practice for Competence of Air Emission Testing Bodies,ASTM INTERNATIONAL (ASTM)
ASTM D7042,(2020) Standard Test Method for Dynamic Viscosity and Density of Liquids by Stabinger Viscometer (and the Calculation of Kinematic Viscosity),ASTM INTERNATIONAL (ASTM)
ASTM D7091,"(2021) Standard Practice for Nondestructive Measurement of Dry Film Thickness of Nonmagnetic Coatings Applied to Ferrous Metals and Nonmagnetic, Nondestructive Coatings Applied to Non-Ferrous Metals",ASTM INTERNATIONAL (ASTM)
ASTM D7127,(2017) Standard Test Method for Measurement of Surface Roughness of Abrasive Blast Cleaned Metal Surfaces using a Portable Stylus Instrument,ASTM INTERNATIONAL (ASTM)
ASTM D7155,(2011) Standard Practice for Evaluating Compatibility of Mixtures of Turbine Lubricating Oils,ASTM INTERNATIONAL (ASTM)
ASTM D7158/D7158M,(2016) Standard Test Method for Wind Resistance of Asphalt Shingles (Uplift Force/Uplift Resistance Method),ASTM INTERNATIONAL (ASTM)
ASTM D7173,(2020) Standard Practice for Determining the Separation Tendency of Polymer from Polymer Modified Asphalt,ASTM INTERNATIONAL (ASTM)
ASTM D7175,(2015) Standard Test Method for Determining the Rheological Properties of Asphalt Binder Using a Dynamic Shear Rheometer,ASTM INTERNATIONAL (ASTM)
ASTM D7176,(2006; R 2011) Non-Reinforced Polyvinyl Chloride (PVC) Geomembranes Used in Buried Applications,ASTM INTERNATIONAL (ASTM)
ASTM D7238,(2006; R 2012) Standard Test Method for Effect of Exposure of Unreinforced Polyolefin Geomembrane Using Fluorescent UV Condensation Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM D7258,(2017) Standard Specification for Polymeric Piles,ASTM INTERNATIONAL (ASTM)
ASTM D7264/D7264M,(2021) Standard Test Method for Flexural Properties of Polymer Matrix Composite Materials,ASTM INTERNATIONAL (ASTM)
ASTM D7272,(2006; R 2018) Standard Test Method for Determining the Integrity of Seams Used in Joining Geomembranes by Pre-manufactured Taped Methods,ASTM INTERNATIONAL (ASTM)
ASTM D7290,(2006; R 2022) Standard Practice for Evaluating Material Property Characteristic Values for Polymeric Composites for Civil Engineering Structural Applications,ASTM INTERNATIONAL (ASTM)
ASTM D7330,(2015) Standard Test Method for Assessment of Surface Appearance Change in Pile Floor Coverings Using Standard Reference Scales,ASTM INTERNATIONAL (ASTM)
ASTM D7405,(2020) Standard Test Method for Multiple Stress Creep and Recovery (MSCR) of Asphalt Binder Using a Dynamic Shear Rheometer,ASTM INTERNATIONAL (ASTM)
ASTM D7408,(2012; R 2020) Non Reinforced PVC (Polyvinyl Chloride) Geomembrane Seams,ASTM INTERNATIONAL (ASTM)
ASTM D7428,(2015) Standard Test Method for Resistance of Fine Aggregate to Degradation by Abrasion inthe Micro-Deval Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM D7466,(2010) Standard Test Method for Measuring Asperity Height of Textured Geomembranes,ASTM INTERNATIONAL (ASTM)
ASTM D7567,(2009) Standard Test Method for Determining Gel Content in Crosslinked Ethylene Plastics Using Pressurized Liquid Extraction,ASTM INTERNATIONAL (ASTM)
ASTM D7611/D7611M,(2013; E 2014) Standard Practice for Coding Plastic Manufactured Articles for Resin Identification,ASTM INTERNATIONAL (ASTM)
ASTM D7647,(2010; R 2018) Standard Test Method for Automatic Particle Counting of Lubricating and Hydraulic Fluids Using Dilution Techniques to Eliminate the Contribution of Water and Interfering Soft Particles by Light Extinction,ASTM INTERNATIONAL (ASTM)
ASTM D7700,(2015) Standard Guide for Selecting Test Methods for Geomembrane Seams,ASTM INTERNATIONAL (ASTM)
ASTM D7803,(2019) Standard Practice for Preparation of Zinc (Hot-Dip Galvanized) Coated Iron and Steel Product and Hardware Surfaces for Powder Coating,ASTM INTERNATIONAL (ASTM)
ASTM D7869,(2017) Standard Practice for Xenon Arc Exposure Test with Enhanced Light and Water Exposure for Transportation Coatings,ASTM INTERNATIONAL (ASTM)
ASTM D7877,(2014) Standard Guide for Electronic Methods for Detecting and Locating Leads in Waterproof Membranes,ASTM INTERNATIONAL (ASTM)
ASTM D7928,(2017) Standard Test Method for Particle-Size Distribution (Gradation) of Fine-Grained Soils Using the Sedimentation (Hydrometer) Analysis,ASTM INTERNATIONAL (ASTM)
ASTM D7957/D7957M,(2017) Standard Specification for Solid Round Glass Fiber Reinforced Polymer Bars for Concrete Reinforcement,ASTM INTERNATIONAL (ASTM)
ASTM D8167/D8167M,(2023) Standard Test Method for In-Place Bulk Density of Soil and Soil-Aggregate by a Low-Activity Nuclear Method (Shallow Depth),ASTM INTERNATIONAL (ASTM)
ASTM D8239,(2018) Standard Specification for Performance-Graded Asphalt Binder Using the Multiple Stress Creep and Recovery (MSCR) Test,ASTM INTERNATIONAL (ASTM)
ASTM D8427,(2021) Standard Specification for Rigid Poly Vinyl Chloride (PVC) Exterior Profiles Used for Sheet Piling,ASTM INTERNATIONAL (ASTM)
ASTM DEFONLINE,(2008) ASTM Online Dictionary of Engineering Science and Technology,ASTM INTERNATIONAL (ASTM)
ASTM E1,(2014) Standard Specification for ASTM Liquid-in-Glass Thermometers,ASTM INTERNATIONAL (ASTM)
ASTM E10,(2023) Standard Test Method for Brinell Hardness of Metallic Materials,ASTM INTERNATIONAL (ASTM)
ASTM E11,(2024) Standard Specification for Woven Wire Test Sieve Cloth and Test Sieves,ASTM INTERNATIONAL (ASTM)
ASTM E28,(2018; R 2022) Softening Point of Resins Derived from Naval Stores by Ring and Ball Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM E72,(2022) Conducting Strength Tests of Panels for Building Construction,ASTM INTERNATIONAL (ASTM)
ASTM E84,(2023) Standard Test Method for Surface Burning Characteristics of Building Materials,ASTM INTERNATIONAL (ASTM)
ASTM E90,(2023) Standard Test Method for Laboratory Measurement of Airborne Sound Transmission Loss of Building Partitions and Elements,ASTM INTERNATIONAL (ASTM)
ASTM E94/E94M,(2022) Standard Guide for Radiographic Examination Using Industrial Radiographic Film,ASTM INTERNATIONAL (ASTM)
ASTM E96/E96M,(2024) Standard Test Methods for Gravimetric Determination of Water Vapor Transmission Rate of Materials,ASTM INTERNATIONAL (ASTM)
ASTM E100,(2019; R 2024) Standard Specification for ASTM Hydrometers,ASTM INTERNATIONAL (ASTM)
ASTM E108,(2024) Standard Test Methods for Fire Tests of Roof Coverings,ASTM INTERNATIONAL (ASTM)
ASTM E110,(2014; R 2023) Standard Test Method for Rockwell and Brinell Hardness of Metallic Materials by Portable Hardness Testers,ASTM INTERNATIONAL (ASTM)
ASTM E114,(2015) Standard Practice for Ultrasonic Pulse-Echo Straight-Beam Contact Testing,ASTM INTERNATIONAL (ASTM)
ASTM E119,(2024) Standard Test Methods for Fire Tests of Building Construction and Materials,ASTM INTERNATIONAL (ASTM)
ASTM E125,(1963; R 2023) Photographs for Magnetic Particle Indications on Ferrous Castings,ASTM INTERNATIONAL (ASTM)
ASTM E126,(2019; R 2024) Inspection and Verification of Hydrometers,ASTM INTERNATIONAL (ASTM)
ASTM E136,(2024c) Standard Test Method for Assessing Combustibility of Materials Using a Vertical Tube Furnace at 750 Degrees C,ASTM INTERNATIONAL (ASTM)
ASTM E154/E154M,"(2008a; R 2019) Standard Test Methods for Water Vapor Retarders Used in Contact with Earth Under Concrete Slabs, on Walls, or as Ground Cover",ASTM INTERNATIONAL (ASTM)
ASTM E162,(2024) Standard Test Method for Surface Flammability of Materials Using a Radiant Heat Energy Source,ASTM INTERNATIONAL (ASTM)
ASTM E164,(2024) Standard Practice for Contact Ultrasonic Testing of Weldments,ASTM INTERNATIONAL (ASTM)
ASTM E165/E165M,(2023) Standard Practice for Liquid Penetrant Examination for General Industry,ASTM INTERNATIONAL (ASTM)
ASTM E169,(2016; R 2022) Standard Practices for General Techniques of Ultraviolet-Visible Quantitative Analysis,ASTM INTERNATIONAL (ASTM)
ASTM E204,"(1998; R 2007) Identification of Material by Infrared Absorption Spectroscopy, Using the ASTM Coded Band and Chemical Classification Index",ASTM INTERNATIONAL (ASTM)
ASTM E228,(2022) Standard Test Method for Linear Thermal Expansion of Solid Materials with a Push-Rod Dilatometer,ASTM INTERNATIONAL (ASTM)
ASTM E230/E230M,(2012) Standard Specification and Temperature-Electromotive Force (emf) Tables for Standardized Thermocouples,ASTM INTERNATIONAL (ASTM)
ASTM E274/E274M,(2015) Standard Test Method for Skid Resistance of Paved Surfaces Using a Full-Scale Tire,ASTM INTERNATIONAL (ASTM)
ASTM E283,"(2019) Standard Test Method for Determining the Rate of Air Leakage Through Exterior Windows, Curtain Walls, and Doors Under Specified Pressure Differences Across the Specimen",ASTM INTERNATIONAL (ASTM)
ASTM E283/E283M,"(2019) Standard Test Method for Determining Rate of Air Leakage Through Exterior Windows, Skylights, Curtain Walls, and Doors Under Specified Pressure Differences Across the Specimen",ASTM INTERNATIONAL (ASTM)
ASTM E290,(2022) Bend Testing of Material for Ductility,ASTM INTERNATIONAL (ASTM)
ASTM E303,(2022) Standard Test Method for Measuring Surface Frictional Properties Using the British Pendulum Tester,ASTM INTERNATIONAL (ASTM)
ASTM E308,(2022) Standard Practice for Computing the Colors of Objects by Using the CIE System,ASTM INTERNATIONAL (ASTM)
ASTM E329,"(2023) Standard Specification for Agencies Engaged in Construction Inspection, Testing, or Special Inspection",ASTM INTERNATIONAL (ASTM)
ASTM E330/E330M,"(2014; R 2021) Standard Test Method for Structural Performance of Exterior Windows, Doors, Skylights and Curtain Walls by Uniform Static Air Pressure Difference",ASTM INTERNATIONAL (ASTM)
ASTM E331,"(2000; R 2023) Standard Test Method for Water Penetration of Exterior Windows, Skylights, Doors, and Curtain Walls by Uniform Static Air Pressure Difference",ASTM INTERNATIONAL (ASTM)
ASTM E336,(2024) Standard Test Method for Measurement of Airborne Sound Attenuation between Rooms in Buildings,ASTM INTERNATIONAL (ASTM)
ASTM E337,(2015; R 2023) Measuring Humidity with a Psychrometer (The Measurement of Wet- and Dry-Bulb Temperatures),ASTM INTERNATIONAL (ASTM)
ASTM E381,"(2022) Standard Method of Macroetch Testing Steel Bars, Billets, Blooms, and Forgings",ASTM INTERNATIONAL (ASTM)
ASTM E413,(2022) Classification for Rating Sound Insulation,ASTM INTERNATIONAL (ASTM)
ASTM E424,(1971; R 2023) Standard Test Methods for Solar Energy Transmittance and Reflectance (Terrestrial) of Sheet Materials,ASTM INTERNATIONAL (ASTM)
ASTM E438,(1992; R 2024) Standard Specification for Glasses in Laboratory Apparatus,ASTM INTERNATIONAL (ASTM)
ASTM E446,(2020) Standard Reference Radiographs for Steel Castings Up to 2 In. (51mm) in Thickness,ASTM INTERNATIONAL (ASTM)
ASTM E488/E488M,(2022) Standard Test Methods for Strength of Anchors in Concrete Elements,ASTM INTERNATIONAL (ASTM)
ASTM E514/E514M,(2020) Standard Test Method for Water Penetration and Leakage Through Masonry,ASTM INTERNATIONAL (ASTM)
ASTM E515,(2011; R 2022) Standard Practice for Leaks Using Bubble Emission Techniques,ASTM INTERNATIONAL (ASTM)
ASTM E543,(2021) Standard Specification for Agencies Performing Non-Destructive Testing,ASTM INTERNATIONAL (ASTM)
ASTM E546,(2014; R 2020) Standard Test Method for Frost Point of Sealed Insulating Glass Units,ASTM INTERNATIONAL (ASTM)
ASTM E548,(1994; E 1995) Standard Guide for General Criteria Used for Evaluating Laboratory Competence,ASTM INTERNATIONAL (ASTM)
ASTM E557,(2012; R 2020) Standard Guide for Architectural Design and Installation Practices for Sound Isolation between Spaces Separated by Operable Partitions,ASTM INTERNATIONAL (ASTM)
ASTM E576,(2014; R 2020) Standard Test Method for Frost Point of Sealed Insulating Glass Units in the Vertical Position,ASTM INTERNATIONAL (ASTM)
ASTM E580/E580M,(2024) Standard Practice for Installation of Ceiling Suspension Systems for Acoustical Tile and Lay-in Panels in Areas Subject to Earthquake Ground Motions,ASTM INTERNATIONAL (ASTM)
ASTM E596,(2022) Standard Test Method for Laboratory Measurement of Noise Reduction of Sound-Isolating Enclosures,ASTM INTERNATIONAL (ASTM)
ASTM E605,(1993; R 2011) Thickness and Density of Sprayed Fire-Resistive Material (SFRM) Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E605/E605M,(2019; R 2023) Standard Test Methods for Thickness and Density of Sprayed Fire-Resistive Material (SFRM) Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E648,(2023) Standard Test Method for Critical Radiant Flux of Floor-Covering Systems Using a Radiant Heat Energy Source,ASTM INTERNATIONAL (ASTM)
ASTM E661,(2022) Standard Test Method for Performance of Wood and Wood-Based Floor and Roof Sheathing Under Concentrated Static and Impact Loads,ASTM INTERNATIONAL (ASTM)
ASTM E662,(2021a; E 2021) Standard Test Method for Specific Optical Density of Smoke Generated by Solid Materials,ASTM INTERNATIONAL (ASTM)
ASTM E695,"(2022) Standard Test Method of Measuring Relative Resistance of Wall, Floor, and Roof Construction to Impact Loading",ASTM INTERNATIONAL (ASTM)
ASTM E699,"(2009) Standard Practice for Evaluation of Agencies Involved in Testing, Quality Assurance, and Evaluating of Building Components",ASTM INTERNATIONAL (ASTM)
ASTM E709,(2021) Standard Guide for Magnetic Particle Testing,ASTM INTERNATIONAL (ASTM)
ASTM E736,(2000; R 2011) Cohesion/Adhesion of Sprayed Fire-Resistive Materials Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E736/E736M,(2019) Standard Test Method for Cohesion/Adhesion of Sprayed Fire-Resistive Materials Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E759/E759M,(1992; R 2023) Standard Test Method for Effect of Deflection on Sprayed Fire-Resistive Material Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E760/E760M,(1992; R 2023) Standard Test Method for Effect of Impact on Bonding of Sprayed Fire-Resistive Material Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E761/E761M,(1992; R 2023) Standard Test Method for Compressive Strength of Sprayed Fire-Resistive Material Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E772,(2015; R 2021) Standard Terminology of Solar Energy Conversion,ASTM INTERNATIONAL (ASTM)
ASTM E779,(2019) Standard Test Method for Determining Air Leakage Rate by Fan Pressurization,ASTM INTERNATIONAL (ASTM)
ASTM E783,(2002; R 2018) Standard Test Method for Field Measurement of Air Leakage Through Installed Exterior Windows and Doors,ASTM INTERNATIONAL (ASTM)
ASTM E795,(2023) Standard Practices for Mounting Test Specimens During Sound Absorption Tests,ASTM INTERNATIONAL (ASTM)
ASTM E814,(2024) Standard Test Method for Fire Tests of Penetration Firestop Systems,ASTM INTERNATIONAL (ASTM)
ASTM E822,(1992; R 2009) Standard Practice for Determining Resistance of Solar Collector Covers to Hail by Impact With Propelled Ice Balls,ASTM INTERNATIONAL (ASTM)
ASTM E831,(2024) Linear Thermal Expansion of Solid Materials by Thermomechanical Analysis,ASTM INTERNATIONAL (ASTM)
ASTM E859/E859M,(2023) Standard Test Method for Air Erosion of Sprayed Fire-Resistive Materials (SFRMs) Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E937/E937M,(1992; R 2023) Standard Test Method for Corrosion of Steel by Sprayed Fire-Resistive Material (SFRM) Applied to Structural Members,ASTM INTERNATIONAL (ASTM)
ASTM E953/E953M,(2016) Standard Practice for Fusibility of Refuse-Derived Fuel (RDF) Ash,ASTM INTERNATIONAL (ASTM)
ASTM E965,(2015; R 2019) Standard Test Method for Measuring Pavement Macrotexture Depth Using a Volumetric Technique,ASTM INTERNATIONAL (ASTM)
ASTM E1030/E1030M,(2015) Standard Test Method for Radiographic Examination of Metallic Castings,ASTM INTERNATIONAL (ASTM)
ASTM E1032,(2019) Standard Practice for Radiographic Examination of Weldments Using Industrial X-Ray Film,ASTM INTERNATIONAL (ASTM)
ASTM E1042,(2022) Standard Classification for Acoustically Absorptive Materials Applied by Trowel or Spray,ASTM INTERNATIONAL (ASTM)
ASTM E1067/E1067M,(2018) Standard Practice for Acoustic Emission Examination of Fiberglass Reinforced Plastic Resin (FRP) Tanks/Vessels,ASTM INTERNATIONAL (ASTM)
ASTM E1105,"(2015; R 2023) Standard Test Method for Field Determination of Water Penetration of Installed Exterior Windows, Skylights, Doors, and Curtain Walls, by Uniform or Cyclic Static Air Pressure Difference",ASTM INTERNATIONAL (ASTM)
ASTM E1111/E1111M,(2014; R 2022) Standard Test Method for Measuring the Interzone Attenuation of Open Office Components,ASTM INTERNATIONAL (ASTM)
ASTM E1155,(2020) Standard Test Method for Determining Floor Flatness and Floor Levelness Numbers,ASTM INTERNATIONAL (ASTM)
ASTM E1155M,(2014) Standard Test Method for Determining Floor Flatness and Floor Levelness Numbers (Metric),ASTM INTERNATIONAL (ASTM)
ASTM E1160,(2013; R 2021) Standard Guide for On-Site Inspection and Verification of Operation of Solar Domestic Hot Water Systems,ASTM INTERNATIONAL (ASTM)
ASTM E1171,(2015) Standard Test Methods for Photovoltaic Modules in Cyclic Temperature and Humidity Environments,ASTM INTERNATIONAL (ASTM)
ASTM E1186,(2022) Standard Practices for Air Leakage Site Detection in Building Envelopes and Air Barrier Systems,ASTM INTERNATIONAL (ASTM)
ASTM E1258,(1988; R 2018) Standard Test Method for Airflow Calibration of Fan Pressurization Devices,ASTM INTERNATIONAL (ASTM)
ASTM E1264,(2023) Standard Classification for Acoustical Ceiling Products,ASTM INTERNATIONAL (ASTM)
ASTM E1274,(2018); R 2024 Standard Test Method for Measuring Pavement Roughness Using a Profilograph,ASTM INTERNATIONAL (ASTM)
ASTM E1289,(2008; R 2022) Standard Specification for Reference Specimen for Sound Transmission Loss,ASTM INTERNATIONAL (ASTM)
ASTM E1300,(2024) Standard Practice for Determining Load Resistance of Glass in Buildings,ASTM INTERNATIONAL (ASTM)
ASTM E1316,(2020a) Standard Terminology for Nondestructive Examinations,ASTM INTERNATIONAL (ASTM)
ASTM E1332,(2016) Standard Classification for Rating Outdoor-Indoor Sound Attenuation,ASTM INTERNATIONAL (ASTM)
ASTM E1347,(2006; R 2020) Standard Test Method for Color and Color Difference Measurement by Tristimulus (Filter) Colorimetry,ASTM INTERNATIONAL (ASTM)
ASTM E1349,(2006; R 2013) Standard Test Method for Reflectance Factor and Color by Spectrophotometry Using Bidirectional (45Â°:0Â° or 0Â°:45Â°) Geometry,ASTM INTERNATIONAL (ASTM)
ASTM E1368,(2014) Visual Inspection of Asbestos Abatement Projects,ASTM INTERNATIONAL (ASTM)
ASTM E1399/E1399M,(1997; R 2022) Standard Test Method for Cyclic Movement and Measuring the Minimum and Maximum Joint Widths of Architectural Joint Systems,ASTM INTERNATIONAL (ASTM)
ASTM E1414/E1414M,(2021a) Standard Test Method for Airborne Sound Attenuation Between Rooms Sharing a Common Ceiling Plenum,ASTM INTERNATIONAL (ASTM)
ASTM E1417/E1417M,(2016) Standard Practice for Liquid Penetrant Testing,ASTM INTERNATIONAL (ASTM)
ASTM E1424,"(2022) Standard Test Method for Determining the Rate of Air Leakage Through Exterior Windows, Curtain Walls, and Doors Under Specified Pressure and Temperature Differences Across the Specimen",ASTM INTERNATIONAL (ASTM)
ASTM E1477,(1998; R 2022a) Standard Test Method for Luminous Reflectance Factor of Acoustical Materials by Use of Integrating-Sphere Reflectometers,ASTM INTERNATIONAL (ASTM)
ASTM E1494,(2012) Encapsulants for Spray- or Trowel-Applied Friable Asbestos-Containing Building Materials,ASTM INTERNATIONAL (ASTM)
ASTM E1537,(2016) Standard Test Method for Fire Testing of Upholstered Furniture,ASTM INTERNATIONAL (ASTM)
ASTM E1571,(2011; R 2016; E 2016) Standard Practice for Electromagnetic Examination of Ferromagnetic Steel Wire Rope,ASTM INTERNATIONAL (ASTM)
ASTM E1590,(2017) Standard Test Method for Fire Testing of Mattresses,ASTM INTERNATIONAL (ASTM)
ASTM E1592,(2017) Standard Test Method for Structural Performance of Sheet Metal Roof and Siding Systems by Uniform Static Air Pressure Difference,ASTM INTERNATIONAL (ASTM)
ASTM E1613,"(2012) Standard Test Method for Determination of Lead by Inductively Coupled Plasma Atomic Emission Spectrometry (ICP-AES), Flame Atomic Absorption Spectrometry (FAAS), or Graphite Furnace Atomic Absorption Spectrometry (GFAAS) Techniques",ASTM INTERNATIONAL (ASTM)
ASTM E1643,"(2018a) Standard Practice for Selection, Design, Installation, and Inspection of Water Vapor Retarders Used in Contact with Earth or Granular Fill Under Concrete Slabs",ASTM INTERNATIONAL (ASTM)
ASTM E1644,(2021) Standard Practice for Hot Plate Digestion of Dust Wipe Samples for the Determination of Lead,ASTM INTERNATIONAL (ASTM)
ASTM E1646,(1995; R 2024) Standard Test Method for Water Penetration of Exterior Metal Roof Panel Systems by Uniform Air Pressure Difference,ASTM INTERNATIONAL (ASTM)
ASTM E1680,(2016) Standard Test Method for Rate of Air Leakage Through Exterior Metal Roof Panel Systems,ASTM INTERNATIONAL (ASTM)
ASTM E1710,(2011) Standard Test Method for Measurement of Retroreflective Pavement Marking Materials with CEN-Prescribed Geometry Using a Portable Retroreflectometer,ASTM INTERNATIONAL (ASTM)
ASTM E1726,(2021) Standard Practice for Preparation of Soil Samples by Hotplate Digestion for Subsequent Lead Analysis,ASTM INTERNATIONAL (ASTM)
ASTM E1727,(2016) Standard Practice for Field Collection of Soil Samples for Subsequent Lead Determination,ASTM INTERNATIONAL (ASTM)
ASTM E1728/E1728M,(2024) Standard Practice for Collection of Settled Dust Samples Using Wipe Sampling Methods for Subsequent Lead Determination,ASTM INTERNATIONAL (ASTM)
ASTM E1742/E1742M,(2018) Standard Practice for Radiographic Examination,ASTM INTERNATIONAL (ASTM)
ASTM E1745,(2017; R 2023) Standard Specification for Water Vapor Retarders Used in Contact with Soil or Granular Fill under Concrete Slabs,ASTM INTERNATIONAL (ASTM)
ASTM E1792,(2024) Standard Specification for Wipe Sampling Materials for Lead in Surface Dust,ASTM INTERNATIONAL (ASTM)
ASTM E1827,(2022) Standard Test Methods for Determining Airtightness of Buildings Using an Orifice Blower Door,ASTM INTERNATIONAL (ASTM)
ASTM E1886,"(2019) Standard Test Method for Performance of Exterior Windows, Curtain Walls, Doors, and Impact Protective Systems Impacted by Missile(s) and Exposed to Cyclic Pressure Differentials",ASTM INTERNATIONAL (ASTM)
ASTM E1920,(2003; R 2014) Standard Guide for Metallographic Preparation of Thermal Sprayed Coatings,ASTM INTERNATIONAL (ASTM)
ASTM E1955,(2004; R 2014) Standard Radiographic Examination for Soundness of Welds in Steel by Comparison to Graded ASTM E 390 Reference Radiographs,ASTM INTERNATIONAL (ASTM)
ASTM E1966,(2015; R 2019) Standard Test Method for Fire-Resistive Joint Systems,ASTM INTERNATIONAL (ASTM)
ASTM E1971,(2024) Standard Guide for Stewardship for the Cleaning of Commercial and Institutional Buildings,ASTM INTERNATIONAL (ASTM)
ASTM E1980,(2011; R 2019) Standard Practice for Calculating Solar Reflectance Index of Horizontal and Low-Sloped Opaque Surfaces,ASTM INTERNATIONAL (ASTM)
ASTM E1993/E1993M,(1998; R 2020) Standard Specification for Bituminous Water Vapor Retarders Used in Contact with Soil or Granular Fill Under Concrete Slabs,ASTM INTERNATIONAL (ASTM)
ASTM E1996,"(2017) Standard Specification for Performance of Exterior Windows, Curtain Walls, Doors, and Impact Protective Systems Impacted by Windborne Debris in Hurricanes",ASTM INTERNATIONAL (ASTM)
ASTM E2016,(2022) Standard Specification for Industrial Woven Wire Cloth,ASTM INTERNATIONAL (ASTM)
ASTM E2029,(2011) Standard Test Method for Volumetric and Mass Flow Rate Measurement in a Duct Using Tracer Gas Dilution,ASTM INTERNATIONAL (ASTM)
ASTM E2068,(2000; R 2022) Standard Test Method for Determination of Operating Force of Sliding Windows and Doors,ASTM INTERNATIONAL (ASTM)
ASTM E2074,"(2000e1) Standard Test Method for Fire Tests of Door Assemblies, Including Positive Pressure Testing of Side-Hinged and Pivoted Swinging Door Assemblies",ASTM INTERNATIONAL (ASTM)
ASTM E2098/E2098M,"(2013; R 2023) Standard Test Method for Determining Tensile Breaking Strength of Glass Fiber Reinforcing Mesh for Use in Class PB Exterior Insulation and Finish Systems (EIFS), after Exposure to a Sodium Hydroxide Solution",ASTM INTERNATIONAL (ASTM)
ASTM E2112,"(2023) Standard Practice for Installation of Exterior Windows, Doors and Skylights",ASTM INTERNATIONAL (ASTM)
ASTM E2121,(2013) Standard Practice for Installing Radon Mitigation Systems in Existing Low-Rise Residential Buildings,ASTM INTERNATIONAL (ASTM)
